Etunimi,Lukumäärä
Tuula,"31,037"
Anne,"30,458"
Päivi,"30,088"
Anna,"29,461"
Ritva,"29,099"
Leena,"28,680"
Pirjo,"28,259"
Sari,"27,761"
Minna,"27,731"
Marja,"26,794"
Tiina,"25,923"
Riitta,"25,495"
Tarja,"24,822"
Laura,"23,479"
Pirkko,"23,284"
Seija,"21,949"
Aino,"21,811"
Liisa,"21,499"
Jaana,"21,481"
Sirpa,"21,481"
Satu,"21,456"
Raija,"21,350"
Eeva,"21,337"
Heidi,"21,330"
Hanna,"21,260"
Sanna,"21,059"
Anja,"20,625"
Eija,"20,286"
Maria,"20,242"
Merja,"19,718"
Eila,"19,544"
Johanna,"19,478"
Kirsi,"19,402"
Arja,"18,814"
Maija,"18,173"
Paula,"17,797"
Ulla,"17,387"
Jenni,"16,851"
Elina,"16,275"
Sirkka,"16,251"
Katja,"15,791"
Mari,"15,141"
Heli,"14,991"
Nina,"14,925"
Anni,"14,899"
Emma,"14,444"
Raili,"13,940"
Terttu,"13,895"
Mirja,"13,412"
Kirsti,"13,335"
Hilkka,"13,228"
Helena,"12,668"
Anu,"12,577"
Tuija,"12,347"
Kaija,"12,162"
Emilia,"11,960"
Sara,"11,930"
Niina,"11,672"
Ella,"11,382"
Suvi,"11,254"
Kaisa,"11,231"
Sofia,"11,139"
Pia,"11,079"
Tanja,"10,949"
Saara,"10,806"
Jenna,"10,749"
Aila,"10,598"
Irma,"10,511"
Kati,"10,414"
Maarit,"10,408"
Leila,"10,375"
Henna,"10,374"
Marjo,"10,298"
Katri,"10,260"
Veera,"10,250"
Noora,"10,097"
Lea,"9,882"
Susanna,"9,766"
Julia,"9,755"
Riikka,"9,658"
Iida,"9,612"
Marja-Leena,"9,327"
Outi,"9,245"
Mervi,"9,153"
Irja,"9,063"
Taina,"9,057"
Sinikka,"8,963"
Milla,"8,953"
Helmi,"8,936"
Kerttu,"8,902"
Jonna,"8,844"
Venla,"8,804"
Virpi,"8,757"
Emmi,"8,636"
Miia,"8,441"
Sonja,"8,223"
Marja-Liisa,"8,161"
Tiia,"8,066"
Marika,"7,741"
Lotta,"7,686"
Siiri,"7,658"
Elli,"7,608"
Terhi,"7,454"
Elsa,"7,422"
Sini,"7,350"
Sanni,"7,312"
Vilma,"7,291"
Annika,"7,185"
Mira,"7,060"
Ida,"7,044"
Sisko,"7,017"
Teija,"7,013"
Oona,"6,996"
Mia,"6,838"
