Etunimi,Lukumäärä
Juha,"44,824"
Timo,"44,584"
Matti,"42,598"
Kari,"40,091"
Mikko,"38,521"
Jari,"37,922"
Antti,"37,725"
Jukka,"33,992"
Mika,"33,613"
Markku,"32,891"
Pekka,"32,146"
Hannu,"29,866"
Heikki,"28,991"
Janne,"27,635"
Seppo,"27,601"
Ari,"26,970"
Sami,"26,307"
Ville,"25,789"
Marko,"25,163"
Petri,"24,159"
Lauri,"23,167"
Jani,"22,791"
Erkki,"21,322"
Pentti,"20,527"
Teemu,"20,312"
Jorma,"20,265"
Harri,"19,927"
Eero,"18,660"
Jarmo,"18,488"
Jaakko,"18,382"
Jussi,"18,046"
Risto,"18,035"
Pasi,"18,015"
Raimo,"17,891"
Juho,"17,231"
Esa,"16,943"
Niko,"16,907"
Toni,"16,747"
Jouni,"16,669"
Pertti,"16,331"
Arto,"16,211"
Martti,"15,966"
Markus,"15,828"
Reijo,"15,696"
Tomi,"15,498"
Aleksi,"15,482"
Tuomas,"15,418"
Vesa,"15,347"
Veikko,"15,154"
Olli,"15,151"
Jouko,"14,949"
Kimmo,"14,747"
Joni,"14,548"
Tommi,"14,359"
Esko,"14,203"
Tero,"13,899"
Joonas,"13,185"
Henri,"12,692"
Eetu,"12,680"
Leo,"12,076"
Kalle,"11,404"
Jarkko,"11,326"
Ilkka,"11,270"
Jesse,"11,059"
Paavo,"10,825"
Joona,"10,750"
Elias,"10,686"
Eino,"10,605"
Pauli,"10,570"
Tuomo,"10,485"
Mikael,"10,030"
Jere,"9,939"
Tapio,"9,709"
Onni,"9,637"
Juuso,"9,627"
Matias,"9,592"
Veli,"9,241"
Arttu,"8,919"
Leevi,"8,784"
Simo,"8,778"
Jyrki,"8,714"
Keijo,"8,702"
Lasse,"8,512"
Joel,"8,122"
Aki,"8,041"
Juhani,"8,007"
Väinö,"7,916"
Niklas,"7,910"
Riku,"7,891"
Kai,"7,863"
Otto,"7,734"
Toivo,"7,649"
Mauri,"7,647"
Daniel,"7,526"
Miika,"7,470"
Jarno,"7,319"
Veeti,"7,317"
Niilo,"7,204"
Valtteri,"7,068"
Jan,"7,056"
Kauko,"6,851"
Reino,"6,806"
Rasmus,"6,698"
Rauno,"6,682"
Teuvo,"6,380"
Oliver,"6,254"
Roope,"6,223"
Ossi,"6,087"
Anton,"6,007"
Olavi,"5,967"
Santeri,"5,957"
Oskari,"5,863"
Ismo,"5,852"
Anssi,"5,745"
Atte,"5,720"
Veijo,"5,680"
Miro,"5,633"
Aaro,"5,590"
Vilho,"5,487"
Emil,"5,468"
